TagCode,group,ReturnYear,rrf_anchor_season,actual_entry_season,has_enl,has_upstream,enl_only,enl_direction,criterion_1_broad,criterion_2_orig_strict,criterion_3_reclassified,criterion_4_enl_sens
3D9.1BF2602B69,A,2009,fall,fall,TRUE,FALSE,TRUE,Exiting (Upper→Lower),1,0,0,0
3D9.1C2C2D0878,A,2009,fall,fall,TRUE,FALSE,TRUE,Exiting (Upper→Lower),1,0,0,0
3D9.1C2C449BFB,A,2010,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C44AA93,A,2009,fall,fall,TRUE,FALSE,TRUE,NA,1,0,0,0
3D9.1C2C44D298,A,2009,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C4512E8,A,2009,fall,fall,TRUE,FALSE,TRUE,Exiting (Upper→Lower),1,0,0,0
3D9.1C2C47D482,A,2010,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C47DC16,A,2009,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C50D96A,A,2010,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C50F219,A,2010,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C50F3FA,A,2009,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C51016F,A,2009,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C517CA8,A,2010,fall,fall,TRUE,FALSE,TRUE,NA,1,0,0,0
3D9.1C2C517ED3,A,2010,fall,fall,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,0,0,1
3D9.1C2C51DAD4,A,2010,fall,fall,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,0,0,1
3D9.1C2CBC3DA5,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CBC4277,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CC087BD,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CC92F88,A,2010,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CCD72F8,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CCDA8D8,A,2010,fall,fall,TRUE,FALSE,TRUE,Exiting (Upper→Lower),1,0,0,0
3D9.1C2CCDB155,A,2012,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CCE1AD5,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CD78DE2,A,2011,fall,fall,TRUE,FALSE,TRUE,Upper/Upstream only (single obs),1,0,0,0
3D9.1C2CDD70AD,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CDD777B,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D09BCDE,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D0B0EE5,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D0C9DE5,A,2014,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D0FFDE7,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D105E0C,A,2014,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D1079AB,A,2011,fall,fall,TRUE,FALSE,TRUE,Upper/Upstream only (single obs),1,0,0,0
3D9.1C2D113428,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D1156CC,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D1173CB,A,2013,fall,fall,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2D125E40,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D45B58B,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D7705D1,A,2012,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D774C1E,A,2014,fall,fall,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,0,0,1
3D9.1C2D8D4137,A,2013,fall,fall,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,0,0,1
3D9.1C2D91CAE6,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D9211FC,A,2012,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D925BD1,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D92606A,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D92648B,A,2014,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D9271C9,A,2012,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D928AF2,A,2014,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D93442C,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D935231,A,2014,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D9BC1E9,A,2014,fall,fall,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,1,1,1
3D9.1C2D9C02FA,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D9EC694,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D9EF42F,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DD2FCC8,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DD554EA,A,2014,fall,fall,TRUE,FALSE,TRUE,Exiting (Upper→Lower),1,0,0,0
3D9.1C2DD6E534,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DD6F3B7,A,2014,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DD71B0E,A,2015,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DD727C3,A,2015,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DD92F5A,A,2014,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DD967D1,A,2015,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DD97614,A,2015,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DDA18FB,A,2014,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DDA1A16,A,2014,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DDA45E3,A,2014,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DDAC3C7,A,2014,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DDAD709,A,2014,fall,fall,TRUE,FALSE,TRUE,Upper/Upstream only,1,0,0,1
3D9.1C2DE40CD5,A,2016,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DE5E840,A,2014,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DEB7ACE,A,2016,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DEB9E0D,A,2015,fall,fall,TRUE,FALSE,TRUE,Exiting (Upper→Lower),1,0,0,0
3D9.239F865504,A,2015,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3DD.0077373919,A,2024,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3DD.00773852EC,A,2025,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3DD.0077385F74,A,2018,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3DD.0077631B4A,A,2018,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3DD.00776DF38F,A,2017,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3DD.00777A3546,A,2018,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3DD.00778E52BD,A,2022,fall,fall,FALSE,TRUE,FALSE,NA,1,0,0,0
3DD.00778F3387,A,2018,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3DD.007790A633,A,2018,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3DD.007790B469,A,2019,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3DD.007790D0B1,A,2019,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3DD.007790F511,A,2017,fall,fall,FALSE,TRUE,FALSE,NA,1,0,0,0
3DD.0077A40C41,A,2020,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3DD.0077A55F0E,A,2019,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3DD.0077AB131C,A,2020,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1BF1A35841,A,2006,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3D9.1BF1F9467F,A,2006,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3D9.1BF201E686,A,2008,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3D9.1BF201F535,A,2008,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3D9.1C2C2CCDDA,A,2009,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3D9.1C2C2DB108,A,2010,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3D9.1C2C42A041,A,2009,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3D9.1C2C44A7A9,A,2009,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3D9.1C2C44AA92,A,2009,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3D9.1C2C50EFC7,A,2010,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3D9.1C2C51E7AD,A,2010,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3D9.1C2CDD6ED7,A,2012,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3D9.1C2CDD7618,A,2010,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3D9.1C2D6FFE88,A,2016,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3D9.1C2DA13E28,A,2016,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3D9.1C2DD7366D,A,2014,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3D9.1C2DD744B0,A,2014,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3DD.0077371456,A,2023,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3DD.007775EFBB,A,2025,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3DD.007780D354,A,2024,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3DD.00779259AF,A,2025,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3DD.0078C5AC85,A,2025,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
3DD.0078C5B90B,A,2025,fall,never,FALSE,FALSE,FALSE,NA,0,0,0,0
384.3B23987601,A,2016,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
384.3B2399200D,A,2015,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
384.3B23AC32E5,A,2016,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1BF1F81266,A,2007,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1BF2019EE6,A,2008,fall,spring,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,0,1,1
3D9.1BF201AAC2,A,2007,fall,spring,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,0,1,1
3D9.1BF201ECE8,A,2007,fall,spring,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,0,1,1
3D9.1BF25FBC4A,A,2009,fall,spring,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,0,1,1
3D9.1BF25FCF46,A,2009,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1BF25FEDAF,A,2009,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1BF25FF5FD,A,2009,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C422ABE,A,2010,fall,spring,TRUE,FALSE,TRUE,Upper/Upstream only (single obs),1,0,1,1
3D9.1C2C4260B4,A,2009,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2C4296CA,A,2010,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C429DEC,A,2010,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C429F5B,A,2010,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C449556,A,2009,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C44AB37,A,2009,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C44E5C4,A,2010,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C451B01,A,2009,fall,spring,FALSE,FALSE,FALSE,NA,1,0,0,0
3D9.1C2C45324F,A,2009,fall,spring,TRUE,FALSE,TRUE,Exiting (Upper→Lower),1,0,1,1
3D9.1C2C454402,A,2009,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C50D4B1,A,2010,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C50DDD7,A,2009,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C50E66A,A,2010,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C50E8B5,A,2009,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C50EBB0,A,2010,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C50F05E,A,2010,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C5113F9,A,2010,fall,spring,TRUE,FALSE,TRUE,Lower/Downstream only (single obs),1,0,1,1
3D9.1C2C5115A3,A,2010,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C516F05,A,2009,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C517C97,A,2010,fall,spring,TRUE,FALSE,TRUE,Lower/Downstream only (single obs),1,0,1,1
3D9.1C2C5182BF,A,2010,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2CBC3646,A,2012,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CBC4431,A,2012,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CC055C1,A,2011,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2CCD332F,A,2010,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2CCD3491,A,2010,fall,spring,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,0,1,1
3D9.1C2CCD36F8,A,2010,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2CCD40CD,A,2011,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2CCD4539,A,2010,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CCD72E6,A,2011,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2CCD767F,A,2010,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2CCD76B4,A,2010,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CCD9FD6,A,2011,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2CCDA9F8,A,2011,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CCDAFB3,A,2011,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CCDB11C,A,2010,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2CCDD953,A,2011,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2CCDD9A2,A,2011,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2CCDE46C,A,2011,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2CDB3599,A,2010,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2CDBF910,A,2010,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CDD6FF0,A,2010,fall,spring,TRUE,FALSE,TRUE,Lower/Downstream only (single obs),1,0,1,1
3D9.1C2CDD7B21,A,2011,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CDD7BD8,A,2010,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2CDDF941,A,2011,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2CDE072C,A,2011,fall,spring,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,0,1,1
3D9.1C2D104B62,A,2011,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D111A1F,A,2012,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D11311B,A,2012,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D116EDE,A,2012,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D11894E,A,2011,fall,spring,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,0,1,1
3D9.1C2D45A06D,A,2012,fall,spring,FALSE,TRUE,FALSE,NA,1,1,0,0
3D9.1C2D45CE40,A,2014,fall,spring,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,0,1,1
3D9.1C2D473C57,A,2015,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D488FBA,A,2014,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D770E92,A,2013,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D7D4788,A,2015,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2D7D8637,A,2016,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D925C72,A,2013,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D92CBDE,A,2012,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D935893,A,2013,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D95B9B5,A,2015,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D9EF5C0,A,2014,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2D9F669E,A,2013,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DBE5BF6,A,2015,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DBE806F,A,2015,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2DD6CFCF,A,2015,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2DD6EFA4,A,2014,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2DD71CC0,A,2014,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DD727E4,A,2013,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2DDA6121,A,2014,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2DDAFC23,A,2015,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DE3B2A9,A,2017,fall,spring,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2DE3CB54,A,2016,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2DE3F265,A,2016,fall,spring,TRUE,TRUE,FALSE,NA,1,1,1,1
