TagCode,Subbasin,ReleaseSite,FirstWellsDate,LastDetectionDate,LastDetectionSite,Fate,Basin,SpillYear,WellsYear,ClassifiedZone,Rear Type Code,Harvest_Status,FallSpillHours,FallSpillDays,FallTotalSpill,SpringSpillHours,SpringSpillDays,SpringTotalSpill,HarvestOpen,SpillYearFactor
384.3B239875C6,Upper Columbia-Entiat,ENTIAR - Entiat River,2017-10-05T05:14:00Z,2018-05-30T12:34:00Z,ENF - Upper Entiat River at rkm 40.6,Below,Entiat,2018,2017,Below,W,Closed,523,34,4903.6,671,66,14036.5,0,2018
384.3B2398DD9B,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-08-09T09:14:00Z,2017-04-16T03:47:00Z,TWR - Lwr Twisp Rvr near MSRF Ponds,Above,Entiat,2017,2016,Above,W,Closed,460,22,3623,330,20,17709.1,0,2017
384.3B239947BA,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2019-08-18T12:02:00Z,2019-10-04T08:16:00Z,"TUM - Tumwater Dam, Wenatchee River",Below,Wenatchee,2020,2019,Below,W,Closed,527,45,5134,86,13,3546.5,0,2020
384.3B23995DC4,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-08-06T15:06:00Z,2017-06-07T18:34:00Z,ENS - Upper Entiat River at rkm 35.7,Below,Entiat,2017,2016,Below,W,Closed,460,22,3623,330,20,17709.1,0,2017
384.3B239B285B,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2020-07-11T15:09:00Z,2021-05-05T13:14:00Z,JDJ - John Day Dam Juvenile,Below,Wenatchee,2021,2020,Below,W,Closed,725,55,8756.2,161,24,2214.9,0,2021
384.3B23AC4B3E,Wenatchee,"WENA4T - Lower Wenatchee trap, 2.8km below Mission Creek",2016-08-07T09:55:00Z,2016-10-27T02:43:00Z,LMR - Lower Methow River at Pateros,Above,Wenatchee,2017,2016,Above,W,Closed,460,22,3623,330,20,17709.1,0,2017
384.3B23AC6042,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-08-28T15:02:00Z,2016-04-08T13:11:00Z,HS2 - Bottom side channel near ENFH,Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
384.3B23AC6E25,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-09-07T15:34:00Z,2016-05-02T11:56:00Z,BCC - BON PH2 Corner Collector,Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
384.3B23AC8F6F,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-08-21T10:21:00Z,2016-08-21T12:31:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2017,2016,Wells Dam,W,Closed,460,22,3623,330,20,17709.1,0,2017
3D9.1BF1A7ADA9,Upper Columbia-Entiat,ENTIAR - Entiat River,2007-11-17T01:51:00Z,2007-11-17T03:38:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2008,2007,Wells Dam,W,Open,655,41,4960.4,19,10,153.3,1,2008
3D9.1BF1F8679B,Upper Columbia-Entiat,ENTIAR - Entiat River,2007-09-28T15:31:00Z,2008-04-29T17:43:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2008,2007,Below,W,Open,655,41,4960.4,19,10,153.3,1,2008
3D9.1BF2011E3B,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2009-08-24T17:57:00Z,2010-05-02T21:07:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Wenatchee,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1BF201A1D0,Upper Columbia-Entiat,ENTIAR - Entiat River,2008-09-09T19:24:00Z,2009-04-17T21:58:00Z,ENM - Middle Entiat River,Below,Entiat,2009,2008,Below,W,Open,644,37,5951,30,14,256.3,1,2009
3D9.1BF201A551,Upper Columbia-Entiat,ENTIAR - Entiat River,2007-08-22T20:40:00Z,2008-04-13T21:21:00Z,ENL - Lower Entiat River,Below,Entiat,2008,2007,Below,W,Open,655,41,4960.4,19,10,153.3,1,2008
3D9.1BF201C3E5,Upper Columbia-Entiat,ENTIAR - Entiat River,2008-09-21T09:08:00Z,2008-09-21T09:09:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2009,2008,Wells Dam,W,Open,644,37,5951,30,14,256.3,1,2009
3D9.1BF201D559,Upper Columbia-Entiat,ENTIAR - Entiat River,2006-10-13T13:24:00Z,2006-12-05T03:00:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2007,2006,Wells Dam,W,Open,632,33,4682.1,193,26,6309.6,1,2007
3D9.1BF201FC03,Upper Columbia-Entiat,ENTIAR - Entiat River,2008-08-19T17:15:00Z,2009-04-17T22:33:00Z,ENL - Lower Entiat River,Below,Entiat,2009,2008,Below,W,Open,644,37,5951,30,14,256.3,1,2009
3D9.1BF25D4AA0,Wenatchee,WENATT - Wenatchee River trap at West Monitor Bridge,2009-06-26T16:05:00Z,2009-07-19T10:17:00Z,TUF - Tumwater Dam Adult Fishway,Below,Wenatchee,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1BF25E4AEE,Upper Columbia-Entiat,MADRVR - Mad River (Entiat River watershed),2009-10-01T13:07:00Z,2010-04-14T14:14:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1BF25FEB8A,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-09-13T16:44:00Z,2010-05-01T06:06:00Z,MCJ - McNary Dam Juvenile,Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1BF25FEF5C,Upper Columbia-Entiat,ENTIAR - Entiat River,2010-05-03T14:38:00Z,2010-05-03T14:39:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2011,2010,Wells Dam,W,Open,631,31,4091.1,146,22,1891.7,1,2011
3D9.1BF26002A8,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-10-03T21:48:00Z,2010-05-18T18:42:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1BF2604717,Upper Columbia-Entiat,MADRVR - Mad River (Entiat River watershed),2010-08-11T12:52:00Z,2010-08-11T12:52:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2011,2010,Wells Dam,W,Open,631,31,4091.1,146,22,1891.7,1,2011
3D9.1BF26DA167,Wenatchee,WENATR - Wenatchee River,2009-09-03T09:52:00Z,2009-09-03T10:29:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Wenatchee,2010,2009,Wells Dam,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1BF26DADEC,Wenatchee,WENATR - Wenatchee River,2009-08-30T11:10:00Z,2010-05-27T20:45:00Z,BCC - BON PH2 Corner Collector,Below,Wenatchee,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1BF26DB858,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2009-09-11T11:20:00Z,2009-09-11T11:21:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Wenatchee,2010,2009,Wells Dam,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1BF26DBC89,Upper Columbia-Entiat,MADRVR - Mad River (Entiat River watershed),2009-10-16T09:59:00Z,2010-05-07T14:10:00Z,BCC - BON PH2 Corner Collector,Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1BF26DDC22,Wenatchee,WENATR - Wenatchee River,2010-04-17T22:59:00Z,2010-05-25T10:13:00Z,"MAD - Mad River, Entiat River Basin",Below,Wenatchee,2011,2010,Below,W,Open,631,31,4091.1,146,22,1891.7,1,2011
3D9.1C2C3232BC,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-10-25T09:36:00Z,2010-06-10T09:19:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C4293CF,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-09-21T10:46:00Z,2010-04-15T20:51:00Z,LMR - Lower Methow River at Pateros,Above,Entiat,2010,2009,Above,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C42959D,Upper Columbia-Entiat,ENTIAR - Entiat River,2010-08-16T15:39:00Z,2011-04-30T20:08:00Z,ENM - Middle Entiat River,Below,Entiat,2011,2010,Below,W,Open,631,31,4091.1,146,22,1891.7,1,2011
3D9.1C2C42A0CD,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-11-27T10:15:00Z,2010-04-19T04:37:00Z,ENM - Middle Entiat River,Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C42CD6A,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-09-27T14:43:00Z,2010-06-14T16:06:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C42DC73,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-09-16T16:48:00Z,2010-06-19T17:26:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C43577C,Upper Columbia-Entiat,ENTIAR - Entiat River,2012-08-10T13:55:00Z,2013-03-29T21:19:00Z,ENL - Lower Entiat River,Below,Entiat,2013,2012,Below,W,Open,600,39,9666.8,72,19,1117.1,1,2013
3D9.1C2C4478BF,Upper Columbia-Entiat,ENTIAR - Entiat River,2010-09-02T15:42:00Z,2011-04-01T21:39:00Z,TWR - Lwr Twisp Rvr near MSRF Ponds,Above,Entiat,2011,2010,Above,W,Open,631,31,4091.1,146,22,1891.7,1,2011
3D9.1C2C448869,Upper Columbia-Entiat,ENTIAR - Entiat River,2010-08-10T13:56:00Z,2011-03-23T01:08:00Z,RCT - Roaring Creek Temporary Array,Below,Entiat,2011,2010,Below,W,Open,631,31,4091.1,146,22,1891.7,1,2011
3D9.1C2C44A0C0,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-08-18T18:41:00Z,2010-05-20T13:12:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C44AC6A,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-09-26T07:57:00Z,2010-06-26T21:07:00Z,MCJ - McNary Dam Juvenile,Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C44DEA6,Upper Columbia-Entiat,ENTIAR - Entiat River,2010-09-23T05:36:00Z,2011-05-06T08:16:00Z,ENM - Middle Entiat River,Below,Entiat,2011,2010,Below,W,Open,631,31,4091.1,146,22,1891.7,1,2011
3D9.1C2C44E0B5,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-10-10T11:06:00Z,2010-04-24T17:38:00Z,"GLC - Gold Creek, Methow River",Above,Entiat,2010,2009,Above,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C44E6E6,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-10-04T21:26:00Z,2010-05-10T04:59:00Z,TWR - Lwr Twisp Rvr near MSRF Ponds,Above,Entiat,2010,2009,Above,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C452C6C,Upper Columbia-Entiat,ENTIAR - Entiat River,2010-07-19T15:04:00Z,2010-07-19T15:04:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2011,2010,Wells Dam,W,Open,631,31,4091.1,146,22,1891.7,1,2011
3D9.1C2C454CF4,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-08-27T18:56:00Z,2009-08-27T18:57:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2010,2009,Wells Dam,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C467685,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-09-19T16:43:00Z,2010-05-02T11:39:00Z,ENM - Middle Entiat River,Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C472E3E,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-09-27T09:51:00Z,2010-05-20T10:00:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C47DD13,Upper Columbia-Entiat,ENTIAR - Entiat River,2010-08-18T08:58:00Z,2011-03-27T21:34:00Z,ENL - Lower Entiat River,Below,Entiat,2011,2010,Below,W,Open,631,31,4091.1,146,22,1891.7,1,2011
3D9.1C2C50C954,Upper Columbia-Entiat,ENTIAR - Entiat River,2010-10-13T13:06:00Z,2011-04-11T11:25:00Z,OKANR - Okanogan River,Above,Entiat,2011,2010,Above,W,Open,631,31,4091.1,146,22,1891.7,1,2011
3D9.1C2C50CC1F,Upper Columbia-Entiat,ENTIAR - Entiat River,2010-09-07T21:19:00Z,2010-09-07T21:19:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2011,2010,Wells Dam,W,Open,631,31,4091.1,146,22,1891.7,1,2011
3D9.1C2C50D574,Upper Columbia-Entiat,MADRVR - Mad River (Entiat River watershed),2011-08-04T13:53:00Z,2012-05-07T02:21:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2012,2011,Below,W,Open,634,31,6876.1,143,15,2877.1,1,2012
3D9.1C2C50D910,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-11-04T13:37:00Z,2010-04-20T16:14:00Z,ENM - Middle Entiat River,Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C50D999,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-09-08T14:40:00Z,2010-04-17T23:30:00Z,ENL - Lower Entiat River,Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C50DD03,Wenatchee,WENATT - Wenatchee River trap at West Monitor Bridge,2010-08-07T16:32:00Z,2011-04-26T22:10:00Z,PES - Peshastin Creek,Below,Wenatchee,2011,2010,Below,W,Open,631,31,4091.1,146,22,1891.7,1,2011
3D9.1C2C50DE54,Upper Columbia-Entiat,ENTIAR - Entiat River,2010-07-06T10:18:00Z,2011-04-24T04:07:00Z,ENF - Upper Entiat River at rkm 40.6,Below,Entiat,2011,2010,Below,W,Open,631,31,4091.1,146,22,1891.7,1,2011
3D9.1C2C50DE70,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-09-26T16:55:00Z,2009-09-26T16:56:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2010,2009,Wells Dam,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C50E3FD,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-09-05T10:56:00Z,2010-05-22T19:46:00Z,ENM - Middle Entiat River,Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C50E5B3,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-09-01T09:58:00Z,2010-06-24T05:19:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C50EBCA,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-08-24T07:53:00Z,2010-05-28T11:38:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C5102E0,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-09-15T09:12:00Z,2010-04-05T22:03:00Z,LMR - Lower Methow River at Pateros,Above,Entiat,2010,2009,Above,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C5103FF,Upper Columbia-Entiat,ENTIAR - Entiat River,2011-08-27T10:51:00Z,2012-04-12T00:01:00Z,ENS - Upper Entiat River at rkm 35.7,Below,Entiat,2012,2011,Below,W,Open,634,31,6876.1,143,15,2877.1,1,2012
3D9.1C2C516FC1,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-11-22T09:32:00Z,2010-04-18T00:10:00Z,ENM - Middle Entiat River,Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C517149,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-08-13T12:42:00Z,2010-04-18T16:35:00Z,ENM - Middle Entiat River,Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2C517A68,Upper Columbia-Entiat,ENTIAR - Entiat River,2011-10-11T13:46:00Z,2011-10-11T13:46:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2012,2011,Wells Dam,W,Open,634,31,6876.1,143,15,2877.1,1,2012
3D9.1C2C518264,Upper Columbia-Entiat,ENTIAR - Entiat River,2010-07-17T10:10:00Z,2011-04-06T22:33:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2011,2010,Below,W,Open,631,31,4091.1,146,22,1891.7,1,2011
3D9.1C2C51CD86,Upper Columbia-Entiat,ENTIAR - Entiat River,2009-08-05T18:02:00Z,2010-05-07T14:36:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
3D9.1C2CB10926,Upper Columbia-Entiat,MADRVR - Mad River (Entiat River watershed),2014-09-19T08:14:00Z,2015-05-31T11:42:00Z,BCC - BON PH2 Corner Collector,Below,Entiat,2015,2014,Below,W,Open,460,22,4187,285,37,4605.9,1,2015
3D9.1C2CBC39D4,Upper Columbia-Entiat,ENTIAR - Entiat River,2012-08-05T16:41:00Z,2012-08-05T18:08:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2013,2012,Wells Dam,W,Open,600,39,9666.8,72,19,1117.1,1,2013
3D9.1C2CBC3F49,Upper Columbia-Entiat,ENTIAR - Entiat River,2012-10-20T07:57:00Z,2013-05-02T15:15:00Z,ENM - Middle Entiat River,Below,Entiat,2013,2012,Below,W,Open,600,39,9666.8,72,19,1117.1,1,2013
