TagCode,Subbasin,ReleaseSite,FirstWellsDate,LastDetectionDate,LastDetectionSite,Fate,Basin,SpillYear,WellsYear,ClassifiedZone,Rear Type Code,Harvest_Status,FallSpillHours,FallSpillDays,FallTotalSpill,SpringSpillHours,SpringSpillDays,SpringTotalSpill,HarvestOpen,SpillYearFactor
3D9.1C2D9FDE14,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-07-26T07:37:00Z,2017-05-14T16:32:00Z,ENF - Upper Entiat River at rkm 40.6,Below,Entiat,2017,2016,Below,W,Closed,460,22,3623,330,20,17709.1,0,2017
3D9.1C2DA0FC56,Upper Columbia-Entiat,ENTIAR - Entiat River,2014-12-09T10:27:00Z,2015-06-07T02:28:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2015,2014,Below,W,Open,460,22,4187,285,37,4605.9,1,2015
3D9.1C2DCBADB8,Wenatchee,WENATR - Wenatchee River,2015-09-01T16:31:00Z,2015-11-09T15:32:00Z,TUF - Tumwater Dam Adult Fishway,Below,Wenatchee,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DD57BAA,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-09-11T01:32:00Z,2017-04-19T10:03:00Z,RCT - Roaring Creek Temporary Array,Below,Entiat,2017,2016,Below,W,Closed,460,22,3623,330,20,17709.1,0,2017
3D9.1C2DD6A680,Upper Columbia-Entiat,ENTIAR - Entiat River,2014-07-15T05:28:00Z,2015-03-18T11:28:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2015,2014,Below,W,Open,460,22,4187,285,37,4605.9,1,2015
3D9.1C2DD6D852,Upper Columbia-Entiat,MADRVR - Mad River (Entiat River watershed),2016-09-25T08:55:00Z,2017-05-12T21:39:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2017,2016,Below,W,Closed,460,22,3623,330,20,17709.1,0,2017
3D9.1C2DD6F2D1,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-08-13T13:34:00Z,2016-05-19T20:23:00Z,BCC - BON PH2 Corner Collector,Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DD6F51A,Upper Columbia-Entiat,MADRVR - Mad River (Entiat River watershed),2015-07-08T11:09:00Z,2016-05-30T19:35:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DD731BF,Upper Columbia-Entiat,ENTIAR - Entiat River,2014-10-04T12:20:00Z,2015-05-21T04:27:00Z,BCC - BON PH2 Corner Collector,Below,Entiat,2015,2014,Below,W,Open,460,22,4187,285,37,4605.9,1,2015
3D9.1C2DD735C3,Upper Columbia-Entiat,ENTIAR - Entiat River,2014-08-28T11:02:00Z,2015-05-20T13:44:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2015,2014,Below,W,Open,460,22,4187,285,37,4605.9,1,2015
3D9.1C2DD750C8,Upper Columbia-Entiat,ENTIAR - Entiat River,2013-09-08T09:55:00Z,2014-05-22T10:32:00Z,ENA - Upper Entiat River at rkm 17.1,Below,Entiat,2014,2013,Below,W,Open,465,24,4206.5,189,24,2903,1,2014
3D9.1C2DD88BF0,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-12-08T15:40:00Z,2016-03-19T19:29:00Z,ENM - Middle Entiat River,Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DD94213,Wenatchee,"WENA4T - Lower Wenatchee trap, 2.8km below Mission Creek",2015-08-03T08:03:00Z,2015-08-03T09:37:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Wenatchee,2016,2015,Wells Dam,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DD95942,Upper Columbia-Entiat,ENTIAR - Entiat River,2014-08-28T06:28:00Z,2015-06-11T10:39:00Z,PRA - Priest Rapids Adult,Below,Entiat,2015,2014,Below,W,Open,460,22,4187,285,37,4605.9,1,2015
3D9.1C2DD9FE18,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-09-01T14:26:00Z,2016-05-09T17:27:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DDA0B75,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-09-05T07:08:00Z,2016-06-15T22:27:00Z,BCC - BON PH2 Corner Collector,Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DDA30C0,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-09-22T06:30:00Z,2016-05-06T05:47:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DDA355C,Upper Columbia-Entiat,ENTIAR - Entiat River,2014-07-21T08:06:00Z,2015-05-10T15:27:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2015,2014,Below,W,Open,460,22,4187,285,37,4605.9,1,2015
3D9.1C2DDA377B,Upper Columbia-Entiat,ENTIAR - Entiat River,2014-08-24T17:19:00Z,2014-08-24T18:54:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2015,2014,Wells Dam,W,Open,460,22,4187,285,37,4605.9,1,2015
3D9.1C2DDA7844,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-09-15T11:08:00Z,2016-04-14T13:47:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DDA86B3,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-08-17T10:28:00Z,2015-08-17T11:56:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2016,2015,Wells Dam,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DDAE3FC,Upper Columbia-Entiat,ENTIAR - Entiat River,2014-08-31T14:32:00Z,2015-02-07T20:34:00Z,ENL - Lower Entiat River,Below,Entiat,2015,2014,Below,W,Open,460,22,4187,285,37,4605.9,1,2015
3D9.1C2DDAFB7F,Upper Columbia-Entiat,ENTIAR - Entiat River,2014-08-16T06:03:00Z,2015-06-05T08:10:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2015,2014,Below,W,Open,460,22,4187,285,37,4605.9,1,2015
3D9.1C2DDB1C6E,Upper Columbia-Entiat,ENTIAR - Entiat River,2014-08-12T15:12:00Z,2014-11-01T19:16:00Z,LMR - Lower Methow River at Pateros,Above,Entiat,2015,2014,Above,W,Open,460,22,4187,285,37,4605.9,1,2015
3D9.1C2DDB28A5,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-08-21T17:40:00Z,2016-08-21T18:55:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2017,2016,Wells Dam,W,Closed,460,22,3623,330,20,17709.1,0,2017
3D9.1C2DDB54B2,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-09-08T16:48:00Z,2016-03-13T09:44:00Z,RCT - Roaring Creek Temporary Array,Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DDB6FF8,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-08-24T12:31:00Z,2016-05-08T08:54:00Z,MWF - Whitefish SC in Methow River,Above,Entiat,2016,2015,Above,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DDB8BE6,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-10-09T07:01:00Z,2016-04-01T20:38:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DE50622,Upper Columbia-Entiat,ENTIAR - Entiat River,2014-09-20T06:09:00Z,2015-06-21T21:19:00Z,ENF - Upper Entiat River at rkm 40.6,Below,Entiat,2015,2014,Below,W,Open,460,22,4187,285,37,4605.9,1,2015
3D9.1C2DEA8A28,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-09-20T12:11:00Z,2016-05-28T17:57:00Z,TWR - Lwr Twisp Rvr near MSRF Ponds,Above,Entiat,2016,2015,Above,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DEA993C,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-09-28T07:07:00Z,2017-04-26T21:48:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2017,2016,Below,W,Closed,460,22,3623,330,20,17709.1,0,2017
3D9.1C2DEABA1D,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-08-14T12:38:00Z,2016-06-22T10:51:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DEAE98C,Upper Columbia-Entiat,ENTIAR - Entiat River,2014-10-09T09:29:00Z,2015-05-04T21:03:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2015,2014,Below,W,Open,460,22,4187,285,37,4605.9,1,2015
3D9.1C2DEAFDF7,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-10-15T15:36:00Z,2016-05-28T09:11:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DEB626F,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-08-25T12:39:00Z,2017-04-25T07:11:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2017,2016,Below,W,Closed,460,22,3623,330,20,17709.1,0,2017
3D9.1C2DEB8AD9,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-08-21T14:26:00Z,2017-05-16T12:19:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2017,2016,Below,W,Closed,460,22,3623,330,20,17709.1,0,2017
3D9.1C2DEB9E13,Upper Columbia-Entiat,ENTIAR - Entiat River,2017-05-01T15:34:00Z,2017-05-13T16:46:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2018,2017,Below,W,Closed,523,34,4903.6,671,66,14036.5,0,2018
3D9.1C2DEBD1D8,Upper Columbia-Entiat,MADRVR - Mad River (Entiat River watershed),2016-08-04T07:32:00Z,2016-08-04T09:00:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2017,2016,Wells Dam,W,Closed,460,22,3623,330,20,17709.1,0,2017
3D9.1C2DEC94F8,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-09-08T16:32:00Z,2016-05-02T16:19:00Z,ENS - Upper Entiat River at rkm 35.7,Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DECA546,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-08-17T09:58:00Z,2015-08-18T18:23:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2016,2015,Wells Dam,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DEE7D1C,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-09-15T16:18:00Z,2016-03-29T09:32:00Z,RCT - Roaring Creek Temporary Array,Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
3D9.1C2DF7D174,Wenatchee,WENATR - Wenatchee River,2015-07-22T06:58:00Z,2016-05-23T17:37:00Z,FST - Foster Creek,Above,Wenatchee,2016,2015,Above,W,Open,460,24,4097.5,15,4,165.1,1,2016
3DD.0077576277,Upper Columbia-Entiat,ENTIAR - Entiat River,2017-10-04T12:53:00Z,2018-04-28T19:34:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2018,2017,Wells Dam,W,Closed,523,34,4903.6,671,66,14036.5,0,2018
3DD.007759C137,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-08-14T16:51:00Z,2015-08-19T17:10:00Z,LMR - Lower Methow River at Pateros,Above,Entiat,2016,2015,Above,W,Open,460,24,4097.5,15,4,165.1,1,2016
3DD.007759D169,Upper Columbia-Entiat,ENTIAR - Entiat River,2017-09-02T17:02:00Z,2018-05-28T13:00:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2018,2017,Below,W,Closed,523,34,4903.6,671,66,14036.5,0,2018
3DD.00776E0C2F,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-10-25T15:18:00Z,2016-11-06T19:22:00Z,MRC - Methow River at Carlton,Above,Entiat,2017,2016,Above,W,Closed,460,22,3623,330,20,17709.1,0,2017
3DD.0077755804,Upper Columbia-Entiat,ENTIAR - Entiat River,2021-07-18T20:58:00Z,2022-05-25T12:36:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2022,2021,Below,W,Closed,342,39,3912,346,43,7000.9,0,2022
3DD.00777588DF,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-09-05T07:05:00Z,2015-09-05T08:20:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2016,2015,Wells Dam,W,Open,460,24,4097.5,15,4,165.1,1,2016
3DD.007775F1C2,Upper Columbia-Entiat,ENTRTP - Entiat River Rotary Screw Trap,2021-11-15T15:58:00Z,2021-11-15T16:15:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2022,2021,Wells Dam,W,Closed,342,39,3912,346,43,7000.9,0,2022
3DD.007779F4BE,Upper Columbia-Entiat,ENTIAR - Entiat River,2018-08-22T09:54:00Z,2018-08-22T11:02:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2019,2018,Wells Dam,W,Closed,574,53,8116.8,78,21,846.8,0,2019
3DD.00777A25C3,Upper Columbia-Entiat,ENTRTP - Entiat River Rotary Screw Trap,2022-08-21T06:14:00Z,2023-04-22T23:58:00Z,TWR - Lwr Twisp Rvr near MSRF Ponds,Above,Entiat,2023,2022,Above,W,Closed,341,43,4276.2,52,16,839.8,0,2023
3DD.00777A41EA,Upper Columbia-Entiat,ENTIAR - Entiat River,2018-08-13T16:28:00Z,2019-04-20T17:36:00Z,ENS - Upper Entiat River at rkm 35.7,Below,Entiat,2019,2018,Below,W,Closed,574,53,8116.8,78,21,846.8,0,2019
3DD.0077840F9D,Upper Columbia-Entiat,MADRVR - Mad River (Entiat River watershed),2019-10-08T21:38:00Z,2020-04-08T20:44:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2020,2019,Below,W,Closed,527,45,5134,86,13,3546.5,0,2020
3DD.00778E0685,Upper Columbia-Entiat,ENTIAR - Entiat River,2019-09-10T08:38:00Z,2020-05-02T11:06:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2020,2019,Below,W,Closed,527,45,5134,86,13,3546.5,0,2020
3DD.00778F7049,Upper Columbia-Entiat,ENTIAR - Entiat River,2019-07-17T14:01:00Z,2019-07-17T15:25:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2020,2019,Wells Dam,W,Closed,527,45,5134,86,13,3546.5,0,2020
3DD.007790CB64,Upper Columbia-Entiat,ENTIAR - Entiat River,2018-09-14T09:15:00Z,2018-09-14T15:25:00Z,WEJ - Wells Dam Bypass Bay Sample,Wells Dam,Entiat,2019,2018,Wells Dam,W,Closed,574,53,8116.8,78,21,846.8,0,2019
3DD.0077A21C63,Upper Columbia-Entiat,ENTIAR - Entiat River,2020-10-03T22:00:00Z,2021-04-02T21:50:00Z,ENA - Upper Entiat River at rkm 17.1,Below,Entiat,2021,2020,Below,W,Closed,725,55,8756.2,161,24,2214.9,0,2021
3DD.0077A25AF9,Upper Columbia-Entiat,ENTIAR - Entiat River,2019-09-27T11:13:00Z,2020-06-27T01:30:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2020,2019,Below,W,Closed,527,45,5134,86,13,3546.5,0,2020
3DD.0077A2EEA1,Upper Columbia-Entiat,ENTIAR - Entiat River,2020-10-07T01:40:00Z,2021-05-14T12:54:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2021,2020,Below,W,Closed,725,55,8756.2,161,24,2214.9,0,2021
3DD.0077A3BCF0,Upper Columbia-Entiat,MADRVR - Mad River (Entiat River watershed),2020-08-25T10:27:00Z,2021-04-17T17:50:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2021,2020,Below,W,Closed,725,55,8756.2,161,24,2214.9,0,2021
3DD.0077A3F119,Upper Columbia-Entiat,MADRVR - Mad River (Entiat River watershed),2018-08-09T12:37:00Z,2019-04-18T18:53:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2019,2018,Below,W,Closed,574,53,8116.8,78,21,846.8,0,2019
3DD.0077A40D92,Upper Columbia-Entiat,ENTIAR - Entiat River,2020-08-24T14:45:00Z,2021-05-28T19:25:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2021,2020,Below,W,Closed,725,55,8756.2,161,24,2214.9,0,2021
3DD.0077A4B879,Upper Columbia-Entiat,ENTIAR - Entiat River,2019-10-02T15:42:00Z,2020-06-11T12:55:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2020,2019,Below,W,Closed,527,45,5134,86,13,3546.5,0,2020
3DD.0077A4C96B,Upper Columbia-Entiat,ENTIAR - Entiat River,2020-07-21T19:39:00Z,2021-05-02T01:28:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2021,2020,Below,W,Closed,725,55,8756.2,161,24,2214.9,0,2021
3DD.0077A4D19C,Upper Columbia-Entiat,ENTIAR - Entiat River,2019-08-18T10:49:00Z,2019-08-18T12:20:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2020,2019,Wells Dam,W,Closed,527,45,5134,86,13,3546.5,0,2020
3DD.0077A534EF,Upper Columbia-Entiat,ENTIAR - Entiat River,2020-08-20T09:50:00Z,2021-05-27T09:11:00Z,BCC - BON PH2 Corner Collector,Below,Entiat,2021,2020,Below,W,Closed,725,55,8756.2,161,24,2214.9,0,2021
3DD.0077AAC35A,Upper Columbia-Entiat,ENTIAR - Entiat River,2020-09-15T06:48:00Z,2021-04-20T13:11:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2021,2020,Wells Dam,W,Closed,725,55,8756.2,161,24,2214.9,0,2021
3DD.0077AAF5DF,Upper Columbia-Entiat,ENTIAR - Entiat River,2019-09-12T07:48:00Z,2020-06-20T15:15:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Entiat,2020,2019,Below,W,Closed,527,45,5134,86,13,3546.5,0,2020
3DD.0077AB1198,Upper Columbia-Entiat,ENTIAR - Entiat River,2020-10-01T13:55:00Z,2021-04-18T18:00:00Z,ENA - Upper Entiat River at rkm 17.1,Below,Entiat,2021,2020,Below,W,Closed,725,55,8756.2,161,24,2214.9,0,2021
3DD.0077AB18B5,Wenatchee,"WENA4T - Lower Wenatchee trap, 2.8km below Mission Creek",2020-08-29T14:43:00Z,2021-05-06T02:36:00Z,OMK - Omak Creek Instream Array,Above,Wenatchee,2021,2020,Above,W,Closed,725,55,8756.2,161,24,2214.9,0,2021
